date,currency,price,volume,market_cap
2024-01-20,Bitcoin,4655.23,89824360,418152972940
2024-01-20,Ethereum,4502.1,63677044,286680436546
2024-01-20,Litecoin,1695.22,35571748,60301762453
2024-01-20,Ripple,3629.81,89813916,326007072147
2024-01-20,Dash,4435.44,78207679,346885734819
2024-01-21,Bitcoin,32101.62,9329857,299503491441
2024-01-21,Ethereum,808.23,89956865,72705603524
2024-01-21,Litecoin,3032.18,1910508,5793013375
2024-01-21,Ripple,507.45,66686675,33839991064
2024-01-21,Dash,25.41,16919997,429893355
2024-01-22,Bitcoin,27436.73,69497625,1906787880350
2024-01-22,Ethereum,3259.84,23202662,75636990065
2024-01-22,Litecoin,3560.92,24487660,87198716760
2024-01-22,Ripple,1627.07,74902649,121871549988
2024-01-22,Dash,3248.2,85073118,276334460896
2024-01-23,Bitcoin,32880.68,57262552,1882831573786
2024-01-23,Ethereum,468.46,37403865,17522381623
2024-01-23,Litecoin,1326.09,25154975,33357642621
2024-01-23,Ripple,4865.06,39916675,194196836906
2024-01-23,Dash,4460.24,63482724,283148411488
2024-01-24,Bitcoin,39740.59,50761072,2017274740475
2024-01-24,Ethereum,2884.56,49759252,143533633269
2024-01-24,Litecoin,976.3,72522759,70803637474
2024-01-24,Ripple,1403.93,3407281,4783596287
2024-01-24,Dash,3227.4,18533957,59816436809
2024-01-25,Bitcoin,47022.94,95438929,4487818577028
2024-01-25,Ethereum,4574.33,37645711,172203924179
2024-01-25,Litecoin,77.38,92903538,7189018538
2024-01-25,Ripple,2140.98,96698827,207030053986
2024-01-25,Dash,4818.1,85447936,411697001953
2024-01-26,Bitcoin,14722.52,39124675,576013622700
2024-01-26,Ethereum,4255.7,32375279,137779415903
2024-01-26,Litecoin,847.55,56123325,47567143606
2024-01-26,Ripple,4680.78,69906950,327219070665
2024-01-26,Dash,2850.35,10620473,30272052609
2024-01-27,Bitcoin,30750.4,99015331,3044761022899
2024-01-27,Ethereum,700.51,52314636,36646719660
2024-01-27,Litecoin,4386.88,74336093,326103343605
2024-01-27,Ripple,3485.11,70545924,245860235983
2024-01-27,Dash,1797.52,30065593,54043498175
2024-01-28,Bitcoin,40468.08,81201226,3286057456056
2024-01-28,Ethereum,4335.37,91410815,396300150342
2024-01-28,Litecoin,2556.76,50650113,129500226921
2024-01-28,Ripple,3991.5,65346429,260830014823
2024-01-28,Dash,3509.86,79783474,280029159277
2024-01-29,Bitcoin,44500.28,34461521,1533547246926
2024-01-29,Ethereum,1877.98,10304212,19351075334
2024-01-29,Litecoin,2891.44,4558285,13180021001
2024-01-29,Ripple,2328.04,54721819,127394776338
2024-01-29,Dash,1432.78,59492493,85239511434
2024-01-30,Bitcoin,1525.11,4697471,7164156920
2024-01-30,Ethereum,4113.02,36658873,150778699796
2024-01-30,Litecoin,635.39,52702083,33486368830
2024-01-30,Ripple,3849.99,22366282,86109978103
2024-01-30,Dash,3114.49,9449399,29430059649
2024-01-31,Bitcoin,2584.18,53604109,138522712890
2024-01-31,Ethereum,2703.22,64105560,173291531588
2024-01-31,Litecoin,3630.48,97609356,354369210530
2024-01-31,Ripple,2581.55,32972691,85120653665
2024-01-31,Dash,3975.95,27812393,110580723924
2024-02-01,Bitcoin,21948.63,8767182,192427603346
2024-02-01,Ethereum,126.85,96302193,12216047018
2024-02-01,Litecoin,4179.92,69901446,292182244464
2024-02-01,Ripple,2044.82,18156138,37126102945
2024-02-01,Dash,782.27,25774047,20162252591
2024-02-02,Bitcoin,27461.38,71744996,1970216486732
2024-02-02,Ethereum,3301.02,28713456,94783716661
2024-02-02,Litecoin,4774.33,74051795,353547773132
2024-02-02,Ripple,2771.81,61560354,170633901642
2024-02-02,Dash,2098.06,25525368,53553711441
2024-02-03,Bitcoin,17798.7,76026765,1353177454504
2024-02-03,Ethereum,72.07,12491191,900190248
2024-02-03,Litecoin,230.11,5032151,1157941370
2024-02-03,Ripple,4277.32,70662128,302244348114
2024-02-03,Dash,2370.92,10685582,25334678314
2024-02-04,Bitcoin,24580.84,47873705,1176776110309
2024-02-04,Ethereum,866.09,43951313,38065882107
2024-02-04,Litecoin,1992.58,61969160,123478745065
2024-02-04,Ripple,3175.5,5485097,17417951447
2024-02-04,Dash,1873.13,62960132,117932235131
2024-02-05,Bitcoin,25156.86,85792494,2158269991973
2024-02-05,Ethereum,3293.5,17130508,56419368231
2024-02-05,Litecoin,352.94,64599509,22799536083
2024-02-05,Ripple,132.65,58991783,7825490116
2024-02-05,Dash,4701.16,57971944,272535219177
2024-02-06,Bitcoin,19408.56,64685534,1255452898363
2024-02-06,Ethereum,2291.32,55016062,126059327980
2024-02-06,Litecoin,4707.33,39224161,184641066446
2024-02-06,Ripple,4805.96,90629714,435562479078
2024-02-06,Dash,979.04,7866769,7701850592
2024-02-07,Bitcoin,5038.99,2803961,14129130102
2024-02-07,Ethereum,472.31,68617671,32408493565
2024-02-07,Litecoin,356.04,32578587,11599153965
2024-02-07,Ripple,4224.39,3303922,13957060358
2024-02-07,Dash,4072.36,28903623,117705984873
2024-02-08,Bitcoin,5908.33,69976979,413447056059
2024-02-08,Ethereum,3144.75,87869729,276328449051
2024-02-08,Litecoin,3675.38,80544612,296032194335
2024-02-08,Ripple,1410.24,18566515,26183328389
2024-02-08,Dash,3753.1,80876639,303538009130
2024-02-09,Bitcoin,49525.26,41849150,2072589953608
2024-02-09,Ethereum,1860.15,77864883,144840613606
2024-02-09,Litecoin,1704.08,93144975,158726826668
2024-02-09,Ripple,4292.08,43470409,186578381309
2024-02-09,Dash,3754.38,75699745,284205625950
2024-02-10,Bitcoin,5156.28,90352738,465884297414
2024-02-10,Ethereum,2526.31,82819289,209227309089
2024-02-10,Litecoin,1600.32,89656800,143479210960
2024-02-10,Ripple,1946.07,2072927,4034060922
2024-02-10,Dash,4526.92,10037381,45438414219
2024-02-11,Bitcoin,15965.75,95056135,1517642478266
2024-02-11,Ethereum,4753.04,57770351,274584827692
2024-02-11,Litecoin,3159.22,45396107,143416418743
2024-02-11,Ripple,1466.12,33537790,49170576837
2024-02-11,Dash,3362.63,75485078,253828013957
2024-02-12,Bitcoin,39578.97,79172196,3133554215491
2024-02-12,Ethereum,456.12,49947610,22782173607
2024-02-12,Litecoin,287.89,55403359,15949964766
2024-02-12,Ripple,2207.71,88882714,196227110413
2024-02-12,Dash,1754.64,12589635,22090276139
2024-02-13,Bitcoin,7149.67,76389553,546160077096
2024-02-13,Ethereum,3091.13,11011145,34036863872
2024-02-13,Litecoin,420.63,70395944,29610337589
2024-02-13,Ripple,363.91,82364146,29972951459
2024-02-13,Dash,3531.24,9053529,31970189379
2024-02-14,Bitcoin,4241.98,98677318,418586936287
2024-02-14,Ethereum,1871.42,37693573,70540375581
2024-02-14,Litecoin,4064.02,94777609,385177772800
2024-02-14,Ripple,4930.01,75584440,372631798732
2024-02-14,Dash,1881.36,9266571,17433758724
2024-02-15,Bitcoin,38857.37,56282021,2186971195647
2024-02-15,Ethereum,2121.17,90729084,192451595803
2024-02-15,Litecoin,556.08,49769885,27675853274
2024-02-15,Ripple,56.87,47397404,2695352341
2024-02-15,Dash,281.61,12762974,3594190574
2024-02-16,Bitcoin,5876.4,65271820,383563360780
2024-02-16,Ethereum,3730.25,58753508,219165260034
2024-02-16,Litecoin,4810.87,38112187,183352646431
2024-02-16,Ripple,1428.63,86991314,124278562299
2024-02-16,Dash,1118.06,96359031,107734873484
2024-02-17,Bitcoin,607.82,97018004,58969727489
2024-02-17,Ethereum,215.9,89223168,19262857660
2024-02-17,Litecoin,2638.55,99303515,262017564616
2024-02-17,Ripple,369.08,55831574,20606063022
2024-02-17,Dash,4846.52,52786687,255831507752
2024-02-18,Bitcoin,31469.97,69879120,2199093744426
2024-02-18,Ethereum,2272.76,63128250,143475353084
2024-02-18,Litecoin,2921.61,90214643,263572285456
2024-02-18,Ripple,227.33,28815356,6550518670
2024-02-18,Dash,4752.06,89136115,423580376846
2024-02-19,Bitcoin,22782.89,62393127,1421495882731
2024-02-19,Ethereum,1386.98,19623995,27218052547
2024-02-19,Litecoin,2318.55,35981871,83425609674
2024-02-19,Ripple,2918.32,8695729,25376939104
2024-02-19,Dash,4871.98,98634864,480546747794
2024-02-20,Bitcoin,34908.12,54073540,1887605409980
2024-02-20,Ethereum,1547.71,81565707,126239826103
2024-02-20,Litecoin,3423.69,17099077,58541894283
2024-02-20,Ripple,4554.64,82431187,375444779905
2024-02-20,Dash,4749.0,72846231,345947086695
2024-02-21,Bitcoin,30670.8,42406061,1300627737723
2024-02-21,Ethereum,4663.65,86740325,404526442712
2024-02-21,Litecoin,226.19,3610330,816616421
2024-02-21,Ripple,1882.38,81244780,152933482535
2024-02-21,Dash,4936.38,15891272,78445388852
2024-02-22,Bitcoin,29706.58,38708195,1149887944565
2024-02-22,Ethereum,4849.57,84369773,409157543590
2024-02-22,Litecoin,4191.66,47400623,198687279987
2024-02-22,Ripple,2074.16,28067300,58215959785
2024-02-22,Dash,281.97,86607515,24420880927
2024-02-23,Bitcoin,40645.07,99972050,4063370872948
2024-02-23,Ethereum,4983.18,55987739,278997233665
2024-02-23,Litecoin,3844.96,94531807,363471034383
2024-02-23,Ripple,4248.25,25487462,108277161435
2024-02-23,Dash,2252.78,13786782,31058526623
2024-02-24,Bitcoin,47702.56,61011289,2910394418549
2024-02-24,Ethereum,1143.29,67498368,77170287389
2024-02-24,Litecoin,3090.68,36458109,112680326329
2024-02-24,Ripple,567.88,67485746,38323576547
2024-02-24,Dash,2601.59,77459521,201517641529
2024-02-25,Bitcoin,26008.22,85365969,2220217149530
2024-02-25,Ethereum,2759.58,56532859,156006891189
2024-02-25,Litecoin,4383.28,40944804,179472553649
2024-02-25,Ripple,670.16,3849485,2579781388
2024-02-25,Dash,3775.71,62410646,235644546360
2024-02-26,Bitcoin,35204.02,22083452,777426241270
2024-02-26,Ethereum,681.94,2439922,1663889468
2024-02-26,Litecoin,1753.0,59401851,104131607281
2024-02-26,Ripple,1961.28,44310017,86904395050
2024-02-26,Dash,4520.8,35477291,160385846656
2024-02-27,Bitcoin,25699.52,78581648,2019510881511
2024-02-27,Ethereum,1982.77,62586583,124095066266
2024-02-27,Litecoin,4311.83,95002542,409635028765
2024-02-27,Ripple,735.45,92732175,68200128150
2024-02-27,Dash,2460.63,26566194,65369634903
2024-02-28,Bitcoin,22956.84,98023225,2250303677617
2024-02-28,Ethereum,2463.14,33546409,82629543424
2024-02-28,Litecoin,3167.04,24774416,78461590346
2024-02-28,Ripple,379.41,13759092,5220324261
2024-02-28,Dash,640.32,16038367,10269629043
2024-02-29,Bitcoin,6941.44,64446600,447352511374
2024-02-29,Ethereum,909.48,35221061,32032929286
2024-02-29,Litecoin,4483.95,47922202,214880872997
2024-02-29,Ripple,3337.82,18059667,60279953515
2024-02-29,Dash,961.53,5045993,4851852795
2024-03-01,Bitcoin,8446.84,28580444,241414327028
2024-03-01,Ethereum,885.13,9781551,8657990269
2024-03-01,Litecoin,603.27,46617098,28122570489
2024-03-01,Ripple,1031.75,37062716,38239381827
2024-03-01,Dash,2517.14,69349088,174561086928
2024-03-02,Bitcoin,1965.7,80141629,157534646393
2024-03-02,Ethereum,3139.54,9094144,28551421703
2024-03-02,Litecoin,4367.91,92166368,402574008395
2024-03-02,Ripple,305.48,28410887,8679062690
2024-03-02,Dash,4031.03,75077709,302640181798
2024-03-03,Bitcoin,9226.13,21725583,200443107835
2024-03-03,Ethereum,1852.42,48967776,90709056513
2024-03-03,Litecoin,3091.31,37522450,115993602143
2024-03-03,Ripple,2312.73,74999623,173453677353
2024-03-03,Dash,183.51,25991257,4769716641
2024-03-04,Bitcoin,35667.51,89625477,3196717411791
2024-03-04,Ethereum,2558.44,53679235,137334889681
2024-03-04,Litecoin,535.95,45293824,24275195225
2024-03-04,Ripple,2663.13,25004580,66590523540
2024-03-04,Dash,1346.29,38351132,51631716185
2024-03-05,Bitcoin,1003.66,32885837,33006129898
2024-03-05,Ethereum,1057.32,33422238,35337963447
2024-03-05,Litecoin,598.9,89162201,53399124618
2024-03-05,Ripple,2968.0,68231130,202510191091
2024-03-05,Dash,3945.88,50345778,198658260141
2024-03-06,Bitcoin,4346.11,54173548,235443964856
2024-03-06,Ethereum,2934.25,74798508,219477290508
2024-03-06,Litecoin,2158.35,13630450,29419343933
2024-03-06,Ripple,1418.95,36945147,52423359362
2024-03-06,Dash,3229.62,57507052,185726018674
2024-03-07,Bitcoin,17804.9,98665010,1756720697577
2024-03-07,Ethereum,3028.91,24485452,74164317746
2024-03-07,Litecoin,509.0,16133055,8211760131
2024-03-07,Ripple,1229.86,16907456,20793872188
2024-03-07,Dash,932.92,29224422,27263944142
2024-03-08,Bitcoin,8668.76,89779777,778279557926
2024-03-08,Ethereum,401.26,52926628,21237375887
2024-03-08,Litecoin,2052.04,98255483,201624485614
2024-03-08,Ripple,560.28,40387704,22628556528
2024-03-08,Dash,4847.36,86685205,420193983143
2024-03-09,Bitcoin,40853.62,26532380,1083943814035
2024-03-09,Ethereum,854.52,67195679,57420108420
2024-03-09,Litecoin,4646.89,56119526,260781098164
2024-03-09,Ripple,2858.11,28717930,82078897035
2024-03-09,Dash,3847.49,19517331,75092691697
2024-03-10,Bitcoin,16184.03,43118207,697826338864
2024-03-10,Ethereum,2538.1,24998564,63448882350
2024-03-10,Litecoin,574.27,61451384,35289848638
2024-03-10,Ripple,1443.22,58542584,84490056466
2024-03-10,Dash,771.9,48632870,37539621965
2024-03-11,Bitcoin,26629.52,6130530,163253065117
2024-03-11,Ethereum,1683.09,14307053,24080025393
2024-03-11,Litecoin,316.97,99006063,31381804754
2024-03-11,Ripple,1611.84,81177570,130845010268
2024-03-11,Dash,1273.28,68468770,87179764866
2024-03-12,Bitcoin,38011.42,59968235,2279477597812
2024-03-12,Ethereum,2357.93,41772251,98496200736
2024-03-12,Litecoin,1744.41,93023385,162270592902
2024-03-12,Ripple,4153.11,96537664,400931922313
2024-03-12,Dash,621.57,73355880,45596084875
2024-03-13,Bitcoin,46917.03,18942074,888705814217
2024-03-13,Ethereum,332.57,74370944,24733893531
2024-03-13,Litecoin,2872.41,84341049,242261913588
2024-03-13,Ripple,698.95,79731464,55728139709
2024-03-13,Dash,1008.22,17201938,17343276995
2024-03-14,Bitcoin,8213.37,81642897,670563606719
2024-03-14,Ethereum,3326.02,52783477,175558878374
2024-03-14,Litecoin,1794.22,87842854,157609100530
2024-03-14,Ripple,1962.29,81843345,160600073068
2024-03-14,Dash,2195.73,38317499,84134905126
2024-03-15,Bitcoin,23134.04,30836410,713370824794
2024-03-15,Ethereum,3738.07,50769319,189779375494
2024-03-15,Litecoin,1161.14,90057883,104569832898
2024-03-15,Ripple,1919.52,54811733,105212093114
2024-03-15,Dash,4532.37,62799562,284630843187
2024-03-16,Bitcoin,5844.99,94043380,549682649558
2024-03-16,Ethereum,3138.58,34155656,107200172766
2024-03-16,Litecoin,696.45,79608494,55443051748
2024-03-16,Ripple,3100.4,53812648,166840829563
2024-03-16,Dash,4469.47,79071124,353406294992
2024-03-17,Bitcoin,7583.83,31860485,241624462149
2024-03-17,Ethereum,1242.52,74650683,92755030062
2024-03-17,Litecoin,167.76,57419079,9632556930
2024-03-17,Ripple,3812.32,87799798,334720678715
2024-03-17,Dash,1710.47,82304473,140779705494
2024-03-18,Bitcoin,5531.68,84798777,469079340639
2024-03-18,Ethereum,637.53,40331442,25712526767
2024-03-18,Litecoin,3986.5,15841825,63153390637
2024-03-18,Ripple,1146.33,72503004,83112662597
2024-03-18,Dash,3600.21,64473616,232118599602
2024-03-19,Bitcoin,34697.45,54729720,1898981874250
2024-03-19,Ethereum,1259.07,35223903,44349364037
2024-03-19,Litecoin,908.07,90936606,82576842000
2024-03-19,Ripple,2917.0,40684290,118676100508
2024-03-19,Dash,2310.08,94781051,218952076479
2024-03-20,Bitcoin,7667.65,59036753,452673446571
2024-03-20,Ethereum,2529.49,61533969,155649732662
2024-03-20,Litecoin,90.65,87340267,7917317302
2024-03-20,Ripple,4660.6,56948185,265412609355
2024-03-20,Dash,3483.28,92327439,321602732057
2024-03-21,Bitcoin,35361.96,16101365,569375849833
2024-03-21,Ethereum,2881.48,61064790,175957224675
2024-03-21,Litecoin,2120.71,73907979,156737460566
2024-03-21,Ripple,4671.84,92631283,432758683783
2024-03-21,Dash,2254.25,12210567,27525691269
2024-03-22,Bitcoin,49242.06,84050911,4138840103809
2024-03-22,Ethereum,623.4,92163346,57454716743
2024-03-22,Litecoin,4349.49,52364968,227761155602
2024-03-22,Ripple,2956.42,40501268,119738678874
2024-03-22,Dash,273.9,34184527,9363234836
2024-03-23,Bitcoin,40142.69,1458570,58550937619
2024-03-23,Ethereum,1667.56,40418701,67400709874
2024-03-23,Litecoin,2687.02,92065706,247382786996
2024-03-23,Ripple,1731.8,35348367,61216137128
2024-03-23,Dash,3687.53,45769576,168776799119
2024-03-24,Bitcoin,11230.32,45791512,514253273988
2024-03-24,Ethereum,704.37,18462312,13004317228
2024-03-24,Litecoin,2491.89,42473620,105839546368
2024-03-24,Ripple,4574.24,36876996,168684157252
2024-03-24,Dash,2902.98,63594165,184612822497
2024-03-25,Bitcoin,654.82,66690200,43670178020
2024-03-25,Ethereum,890.26,96145961,85595098871
2024-03-25,Litecoin,743.4,42047788,31258274170
2024-03-25,Ripple,426.84,99690551,42551895363
2024-03-25,Dash,2511.02,59943117,150518654587
2024-03-26,Bitcoin,3353.92,75246087,252369141102
2024-03-26,Ethereum,1049.61,89907375,94367407534
2024-03-26,Litecoin,1025.78,19878084,20390495411
2024-03-26,Ripple,182.84,47734628,8728022906
2024-03-26,Dash,2824.25,7505155,21196428728
2024-03-27,Bitcoin,38776.4,45875595,1778890558564
2024-03-27,Ethereum,2622.0,44635512,117034263565
2024-03-27,Litecoin,2003.88,56404393,113027365485
2024-03-27,Ripple,776.29,19010885,14757878214
2024-03-27,Dash,4308.94,94665431,407907843555
2024-03-28,Bitcoin,18665.53,27803723,518971176895
2024-03-28,Ethereum,3220.03,41464683,133517660510
2024-03-28,Litecoin,127.03,16459107,2090787865
2024-03-28,Ripple,3579.89,66233470,237108507807
2024-03-28,Dash,135.58,22975244,3114920471
2024-03-29,Bitcoin,11553.82,67517382,780083452739
2024-03-29,Ethereum,98.65,11306750,1115418965
2024-03-29,Litecoin,3999.6,18675922,74696223934
2024-03-29,Ripple,3263.77,24580095,80223661319
2024-03-29,Dash,497.3,25074047,12469248799
2024-03-30,Bitcoin,36113.37,85713950,3095419977116
2024-03-30,Ethereum,4151.12,40321169,167377863699
2024-03-30,Litecoin,3340.46,21293445,71129878138
2024-03-30,Ripple,1465.81,89737246,131537693071
2024-03-30,Dash,65.11,9465345,616272657
2024-03-31,Bitcoin,10394.39,3626688,37697218528
2024-03-31,Ethereum,907.26,58721115,53275261526
2024-03-31,Litecoin,2107.18,89374499,188328212202
2024-03-31,Ripple,4087.24,34839918,142398968585
2024-03-31,Dash,1297.19,38589548,50058023565
2024-04-01,Bitcoin,29514.79,27538300,812787102061
2024-04-01,Ethereum,3120.78,41531754,129611554125
2024-04-01,Litecoin,2760.28,44176526,121939613152
2024-04-01,Ripple,1472.4,94896877,139726100693
2024-04-01,Dash,3818.05,14871204,56779040780
2024-04-02,Bitcoin,43423.41,49255689,2138850058025
2024-04-02,Ethereum,4472.77,80185670,358652195373
2024-04-02,Litecoin,2126.13,3224462,6855608260
2024-04-02,Ripple,1343.46,54621787,73382182433
2024-04-02,Dash,3167.43,26530881,84034648296
2024-04-03,Bitcoin,6967.89,83658093,582920373316
2024-04-03,Ethereum,4922.01,53043328,261079921747
2024-04-03,Litecoin,858.48,27958425,24001728321
2024-04-03,Ripple,92.05,91515582,8424150579
2024-04-03,Dash,588.84,58075131,34197171538
2024-04-04,Bitcoin,13702.83,55863622,765489921583
2024-04-04,Ethereum,3257.14,83144439,270812810549
2024-04-04,Litecoin,1032.19,2088587,2155809708
2024-04-04,Ripple,684.51,90101846,61676016307
2024-04-04,Dash,4369.46,60143897,262796533047
2024-04-05,Bitcoin,30025.88,66838631,2006888905677
2024-04-05,Ethereum,876.94,91526783,80263392066
2024-04-05,Litecoin,2093.91,38930714,81517441070
2024-04-05,Ripple,2594.64,5649631,14658738814
2024-04-05,Dash,831.5,74065328,61585336211
2024-04-06,Bitcoin,4140.03,60712059,251349448454
2024-04-06,Ethereum,1226.82,39540266,48508828951
2024-04-06,Litecoin,1443.54,36211599,52272884801
2024-04-06,Ripple,3595.26,30415050,109349939764
2024-04-06,Dash,2832.07,48128990,136304502678
2024-04-07,Bitcoin,33183.59,93746144,3110833791199
2024-04-07,Ethereum,3662.89,22279097,81605821631
2024-04-07,Litecoin,156.01,26964140,4206744489
2024-04-07,Ripple,2975.43,6091156,18123807801
2024-04-07,Dash,2481.88,60087442,149129916760
2024-04-08,Bitcoin,16712.26,77320308,1292197179756
2024-04-08,Ethereum,533.08,8438640,4498475533
2024-04-08,Litecoin,3640.97,50053640,182243850898
2024-04-08,Ripple,3442.04,44047907,151614794558
2024-04-08,Dash,1232.09,82091129,101143292407
2024-04-09,Bitcoin,39970.81,69774951,2788961573354
2024-04-09,Ethereum,1360.8,59432836,80876112421
2024-04-09,Litecoin,1804.93,10066625,18169588028
2024-04-09,Ripple,4586.58,14545044,66711953967
2024-04-09,Dash,4751.19,45154572,214538027485
2024-04-10,Bitcoin,9256.73,54648194,505863461710
2024-04-10,Ethereum,4364.74,73490264,320766032334
2024-04-10,Litecoin,4032.83,66219553,267051875564
2024-04-10,Ripple,3461.41,85070370,294463733530
2024-04-10,Dash,1248.42,49453071,61737959965
2024-04-11,Bitcoin,11060.55,98779133,1092551534239
2024-04-11,Ethereum,4720.3,4903254,23144842633
2024-04-11,Litecoin,3527.91,92599583,326682561609
2024-04-11,Ripple,902.96,57226578,51673234493
2024-04-11,Dash,4577.45,4360652,19960665683
2024-04-12,Bitcoin,34871.04,30437552,1061389194068
2024-04-12,Ethereum,4621.99,97134766,448955776276
2024-04-12,Litecoin,4721.34,47947207,226374973430
2024-04-12,Ripple,4310.23,84610390,364689993708
2024-04-12,Dash,1595.57,83062632,132532281537
2024-04-13,Bitcoin,1850.48,60030718,111085525029
2024-04-13,Ethereum,1150.12,12936122,14878107617
2024-04-13,Litecoin,384.86,69932589,26914138142
2024-04-13,Ripple,1699.44,72751910,123637567060
2024-04-13,Dash,326.88,32213743,10529872812
2024-04-14,Bitcoin,26974.61,79281593,2138590113050
2024-04-14,Ethereum,1593.83,62963246,100352751057
2024-04-14,Litecoin,4429.9,61970456,274522930282
2024-04-14,Ripple,1164.87,3415677,3978834031
2024-04-14,Dash,4350.51,3105672,13511247475
2024-04-15,Bitcoin,43735.1,53364776,2333913621884
2024-04-15,Ethereum,4695.34,80079540,376001036176
